id,title,date,location
1633,"SZIGO Kupa Felnőtt-Ifjúsági Tíztánc, Junior Latin, Senior Standard Ranglista és Klubközi Táncverseny - Felnőtt E Standard 2016.05.21",2016.05.21,Szentlőrinc
1634,XIV. Ritmo Kupa Klubközi és Szabadidős Táncverseny - Gyermek I-II D LAT 2018.09.29,2018.09.29,Pécs
1635,"II. Danza Kupa - Felnőtt ""B"" Standard 2014.10.11",2014.10.11,Budapest
1636,Kelet-Magyarország Területi Bajnokság - TB Senior III C STT 2020.03.07,2020.03.07,Algyői Fehér Ignác Általános Iskola Sportcsarnoka
1637,Nyugat-Magyarország Területi Bajnokság - TB Junior I D Standard 2016.03.12,2016.03.12,Kaposmérő
1638,"VI. Kner Kupa C és B Tíztánc OB és Klubközi Táncverseny - Ifjúsági ""C"" Standard 2014.04.05",2014.04.05,Mezőtúr
1639,ISIS DANCE OPEN - Ifjúsági C LAT 2021.10.23,2021.10.23,"Szombathely, Március 15.tér 5"
1640,X. FEKETE SAS KUPA - Ifjúsági B LAT 2015.11.28,2015.11.28,Hódmezővásárhely
1641,DanceNet Kupa - Junior I D LAT 2025.01.25,2025.01.25,"Csömöri Sportcsarnok,Csömör, Major út 7-9"
1642,Balaton Summer Táncverseny - Felnőtt C Standard 2024.08.11,2024.08.11,"8700 Marcali, Park utca 16"
1643,XX. Gála Kupa Klubközi Táncverseny - Junior I D LAT 2018.10.21,2018.10.21,Zalaegerszeg
1644,II. Spirit Kupa WDSF Felnőtt Latin Világkupa - Junior I D LAT 2022.04.02,2022.04.02,"Kiskunmajsa Aréna, 6120 Kiskunmajsa, Iskola utca 1"
1645,SZILVER Kupa Klubközi Táncverseny - Felnőtt B Standard 2023.06.03,2023.06.03,"5440 Kunszentmárton, Kossuth Lajos utca 40"
1646,Nyugat- Magyarország Területi Bajnokság - Felnőtt B STT 2021.03.06,2021.03.06,7400 Kaposvár Arany János út 97
1647,Szigo Kupa - Junior I C Standard 2018.06.02,2018.06.02,Siklós
1648,V. Sundance Kupa C és B Tíztánc OB - Junior I E Standard 2024.04.06,2024.04.06,"6500 Baja, Duna utca 33"
1649,MTÁSZ E Országos Bajnokság és Klubközi Verseny - OB Gyermek II E Standard 2016.10.01,2016.10.01,Csömör
1650,XIV. Kistelek Open - Ifjúsági BASIC LAT 2017.09.24,2017.09.24,Kistelek
1651,Ametiszt Kupa - Junior I C LAT 2024.11.23,2024.11.23,7400 Kaposvár Arany János út 97
